Symbol,Company_Name,Sector,Data_Exising,History_Existing
ANIX,Anixa Biosciences Inc. Common Stock,Health Care,True,6225.0
ANL,Adlai Nortye Ltd. American Depositary Shares,Health Care,True,252.0
ANNX,Annexon Inc. Common Stock,Health Care,True,1053.0
ANRO,Alto Neuroscience Inc. Common Stock,Health Care,True,166.0
ANSS,ANSYS Inc. Common Stock,Technology,True,6225.0
ANTE,AirNet Technology Inc. American Depositary Shares,Consumer Discretionary,True,4252.0
ANTX,AN2 Therapeutics Inc. Common Stock,Health Care,True,632.0
ANVS,Annovis Bio Inc. Common Stock,Health Care,True,1176.0
ANY,Sphere 3D Corp. Common Shares,Finance,True,2803.0
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,Finance,True,4391.0
AOMN,Angel Oak Mortgage REIT Inc. 9.500% Senior Notes due 2029,Finance,True,42.0
AOMR,Angel Oak Mortgage REIT Inc. Common Stock,Finance,True,827.0
AON,Aon plc Class A Ordinary Shares (Ireland),Finance,True,6225.0
AORT,Artivion Inc. Common Stock,Health Care,True,6225.0
AOS,A.O. Smith Corporation Common Stock,Consumer Discretionary,True,6225.0
AOSL,Alpha and Omega Semiconductor Limited Common Shares,Technology,True,3630.0
AOUT,American Outdoor Brands Inc. Common Stock ,Consumer Discretionary,True,1033.0
AP,Ampco-Pittsburgh Corporation Common Stock,Industrials,True,6225.0
APA,APA Corporation Common Stock,Energy,True,6225.0
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,Finance,True,2912.0
APCX,AppTech Payments Corp. Common Stock,Technology,True,2851.0
APD,Air Products and Chemicals Inc. Common Stock,Industrials,True,6225.0
APDN,Applied DNA Sciences Inc. Common Stock,Consumer Discretionary,True,5340.0
APEI,American Public Education Inc. Common Stock,Real Estate,True,4250.0
APG,APi Group Corporation Common Stock,Consumer Discretionary,True,1113.0
APGE,Apogee Therapeutics Inc. Common Stock,Health Care,True,306.0
APH,Amphenol Corporation Common Stock,Technology,True,6225.0
API,Agora Inc. American Depositary Shares,Technology,True,1072.0
APLD,Applied Digital Corporation Common Stock,Finance,True,619.0
APLE,Apple Hospitality REIT Inc. Common Shares,Real Estate,True,2359.0
APLM,Apollomics Inc. Class A Ordinary Shares,Health Care,True,714.0
APLMW,Apollomics Inc. Warrant,Health Care,True,378.0
APLS,Apellis Pharmaceuticals Inc. Common Stock,Health Care,True,1732.0
APLT,Applied Therapeutics Inc. Common Stock,Health Care,True,1355.0
APM,Aptorum Group Limited Class A Ordinary Shares,Health Care,True,1455.0
APO,Apollo Global Management Inc. (New) Common Stock,Finance,True,3398.0
APOG,Apogee Enterprises Inc. Common Stock,Consumer Discretionary,True,6225.0
APOS,Apollo Global Management Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053,Finance,True,274.0
APP,Applovin Corporation Class A Common Stock,Technology,True,871.0
APPF,AppFolio Inc. Class A Common Stock,Technology,True,2331.0
APPN,Appian Corporation Class A Common Stock,Technology,True,1849.0
APRE,Aprea Therapeutics Inc. Common stock,Health Care,True,1256.0
APT,Alpha Pro Tech Ltd. Common Stock,Health Care,True,6225.0
APTO,Aptose Biosciences Inc. Common Shares,Health Care,True,6225.0
APTV,Aptiv PLC Ordinary Shares,Consumer Discretionary,True,3236.0
APVO,Aptevo Therapeutics Inc. Common Stock,Health Care,True,2063.0
APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),Industrials,True,5340.0
APXI,APx Acquisition Corp. I Class A Ordinary Share,Finance,True,671.0
APYX,Apyx Medical Corporation Common Stock,Health Care,True,1446.0
AQB,AquaBounty Technologies Inc. Common Stock,Consumer Staples,True,1942.0
AQMS,Aqua Metals Inc. Common Stock,Industrials,True,2307.0
AQN,Algonquin Power & Utilities Corp. Common Shares,Utilities,True,3713.0
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,Utilities,True,1346.0
AQST,Aquestive Therapeutics Inc. Common Stock,Health Care,True,1556.0
AQU,Aquaron Acquisition Corp. Common Stock,Finance,True,489.0
AR,Antero Resources Corporation Common Stock,Energy,True,2761.0
ARAY,Accuray Incorporated Common Stock,Health Care,True,4441.0
ARBB,ARB IOT Group Limited Ordinary Shares,Technology,True,374.0
ARBE,Arbe Robotics Ltd. Ordinary Shares,Technology,True,984.0
